"x","y"
3843048.92453516,871962.812169698
3764001.69652006,871151.85458776
3791321.50357579,870923.308547633
3840671.76853011,870612.859896217
3876353.67491941,871141.094857183
3887942.13344423,870991.684073794
3743194.03627157,870451.307512178
3840090.99452121,871061.841796445
3789415.38404754,869213.816713933
3833630.0883591,869461.246180294
3855002.26034847,868648.222994864
3854539.01119291,869921.891580146
3977214.48334926,869382.489518445
3726799.04310852,868647.225921601
3759989.60094634,868435.057143063
3784770.42726294,868610.690810198
3792882.63157703,869309.076034786
3884153.40304274,868206.887456461
3797583.37687478,867611.996644711
3915532.94779227,867441.294861021
3955011.00338801,867652.838269619
3979118.67929791,867439.032196572
3784911.35818485,867287.234994763
3794602.03277585,867181.176040657
3858924.73292013,866285.114357562
3787924.60348485,866554.59220731
3744649.14427899,864886.409470904
3809297.89719127,864923.963145236
3852606.92706728,864682.671277429
3940865.47160756,864411.300020296
3732458.67992132,865766.126163743
3804393.57039026,863780.795740963
3865039.04572848,863923.674145229
3910562.7522486,862757.623131771
3921078.02559507,864297.495451454
3969759.86652854,863863.065759187
3744897.01001684,862306.654680409
3786924.49235415,862420.753766849
3940417.27806487,862320.524699329
3729937.57451151,861815.734738586
3787775.77388186,861570.086748276
3856798.9443746,861694.916400636
3770744.37892849,860808.200496301
3703769.49587529,859372.485773603
3896645.86465611,859145.535998941
3783589.72995306,859142.583381902
3880997.3103252,859024.54644527
3900096.37747691,858476.838956358
3793215.25718228,857997.929461765
3818338.77320115,857597.442864752
3848614.80919643,857626.706104724
3954000.08995628,858263.975686325
3847142.80446055,856953.387984143
3931418.55508291,856731.402908521
3726924.23774709,856247.792121299
3806536.20733148,855958.652158235
3833087.0204676,856317.160286825
3849583.25990565,855257.493279996
3855272.96972691,855971.964154483
3863503.00095592,854961.114923104
3706121.98778537,854100.682904233
3799409.88115999,854741.430717928
3821841.67264733,855055.738830822
3681217.13179298,854073.94529601
3674231.88437009,852332.039954898
3802245.65711294,854179.126253133
3823766.24648314,851433.675407449
3862798.29532957,852146.485531103
3901906.64314674,851824.406534259
3770187.16799251,851107.998917431
3868948.73215157,851312.561464708
3944913.94431663,850009.44028779
3689310.12266924,849324.24662219
3795698.68480816,850245.346367029
3819504.3996996,848544.547959186
3833701.83877012,849527.30552675
3898150.20559298,849526.07687191
3781673.09106359,847958.181840072
3813852.27079928,848163.283756906
3825735.54605599,848666.888486295
3793633.96877578,847357.119548608
3881823.7078302,846886.234081968
3982897.39977095,848246.757502754
3784952.06100543,846307.930894299
3810041.58897989,846226.704041357
3838064.8385063,846467.309521915
3948735.20287392,847498.902032917
3780476.03744268,845442.844374854
3876168.41424506,844116.9474817
3878055.24552578,844823.016870737
3824646.39466439,842238.224816694
3667041.64342583,841713.356125161
3734317.08276083,841508.979039966
3842732.93918832,840810.371440674
3877682.60168589,841650.85062297
3920709.2350951,842373.494938991
